시도,시군구,읍면동/구,읍/면/리/동,리,위도,경도
경상남도,진주시,내동면,,,35.1601211,128.0679265
경상남도,진주시,내동면,내평리,,35.1473,128.0107
경상남도,진주시,내동면,유수리,,35.1273,128.0253
경상남도,진주시,내동면,삼계리,,35.1493384,128.035099
경상남도,진주시,내동면,신율리,,35.1511,128.084
경상남도,진주시,내동면,독산리,,35.1489,128.0614
경상남도,진주시,문산읍,,,35.169201,128.164238
경상남도,진주시,문산읍,두산리,,35.1419,128.1487
경상남도,진주시,문산읍,갈곡리,,35.1459721,128.220129
경상남도,진주시,문산읍,옥산리,,35.1574,128.1424
경상남도,진주시,문산읍,안전리,,35.1465,128.2006
경상남도,진주시,문산읍,이곡리,,35.1471,128.1739
경상남도,진주시,문산읍,삼곡리,,35.1613,128.1726
경상남도,진주시,문산읍,소문리,,35.1763739,128.1622668
경상남도,진주시,문산읍,상문리,,35.1712643,128.1974582
